domain,brand,market,language,batch,owner,repoUrl,deployUrl,siteType,positioning,status,registerTarget,primaryKeywords,secondaryKeywords,competitors,sitemapUrl,robotsUrl,feedUrl,gscProperty,gscConnected,weeklyUpdateTarget
k1pakistan.com,K1 Pakistan,Pakistan,en-PK,K1-P1,partner-team,,https://k1pakistan.com/,authority,"K1 Pakistan authority and brand search hub",needs-info,,"K1 Pakistan|K1 game Pakistan|K1 online Pakistan","K1 register Pakistan|K1 app Pakistan|K1 Pakistan guide","",https://k1pakistan.com/sitemap.xml,https://k1pakistan.com/robots.txt,https://k1pakistan.com/feed.xml,sc-domain:k1pakistan.com,false,3
k1pakistanapp.com,K1 Pakistan,Pakistan,en-PK,K1-P1,partner-team,,https://k1pakistanapp.com/,app,"K1 Pakistan app access and mobile support hub",needs-info,,"K1 Pakistan app|K1 app Pakistan|K1 mobile Pakistan","K1 app download Pakistan|K1 H5 Pakistan|K1 mobile guide","",https://k1pakistanapp.com/sitemap.xml,https://k1pakistanapp.com/robots.txt,https://k1pakistanapp.com/feed.xml,sc-domain:k1pakistanapp.com,false,3
k1pkapp.com,K1 Pakistan,Pakistan,en-PK,K1-P1,partner-team,,https://k1pkapp.com/,app,"K1 PK app download and mobile troubleshooting hub",needs-info,,"K1 PK app|K1 app download|K1 Pakistan APK","K1 Android app|K1 app not working|K1 mobile install","",https://k1pkapp.com/sitemap.xml,https://k1pkapp.com/robots.txt,https://k1pkapp.com/feed.xml,sc-domain:k1pkapp.com,false,3
k1onlinepk.com,K1 Pakistan,Pakistan,en-PK,K1-P1,partner-team,,https://k1onlinepk.com/,online,"K1 online Pakistan H5 and access guide",needs-info,,"K1 online PK|K1 online Pakistan|K1 game online","K1 H5 online|K1 Pakistan online guide|K1 online app","",https://k1onlinepk.com/sitemap.xml,https://k1onlinepk.com/robots.txt,https://k1onlinepk.com/feed.xml,sc-domain:k1onlinepk.com,false,3
k1earningpk.com,K1 Pakistan,Pakistan,en-PK,K1-P2,partner-team,,https://k1earningpk.com/,earning,"K1 earning Pakistan guide and user education hub",needs-info,,"K1 earning PK|K1 earning Pakistan|K1 Pakistan earning","K1 earning guide|K1 rewards Pakistan|K1 income guide","",https://k1earningpk.com/sitemap.xml,https://k1earningpk.com/robots.txt,https://k1earningpk.com/feed.xml,sc-domain:k1earningpk.com,false,3
k1gamebonus.com,K1 Pakistan,Pakistan,en-PK,K1-P2,partner-team,,https://k1gamebonus.com/,bonus,"K1 game bonus guide and offer explanation hub",needs-info,,"K1 game bonus|K1 bonus Pakistan|K1 bonus guide","K1 promo guide|K1 game reward|K1 bonus terms","",https://k1gamebonus.com/sitemap.xml,https://k1gamebonus.com/robots.txt,https://k1gamebonus.com/feed.xml,sc-domain:k1gamebonus.com,false,3
k1gamehubpk.com,K1 Pakistan,Pakistan,en-PK,K1-P2,partner-team,,https://k1gamehubpk.com/,hub,"K1 game hub Pakistan topic cluster and navigation site",needs-info,,"K1 game hub PK|K1 game Pakistan|K1 hub Pakistan","K1 game guide|K1 mobile games|K1 Pakistan support","",https://k1gamehubpk.com/sitemap.xml,https://k1gamehubpk.com/robots.txt,https://k1gamehubpk.com/feed.xml,sc-domain:k1gamehubpk.com,false,3
k1pkhub.com,K1 Pakistan,Pakistan,en-PK,K1-P2,partner-team,,https://k1pkhub.com/,hub,"K1 Pakistan hub for brand, app and support intent",needs-info,,"K1 PK hub|K1 Pakistan hub|K1 hub","K1 support Pakistan|K1 app hub|K1 guide hub","",https://k1pkhub.com/sitemap.xml,https://k1pkhub.com/robots.txt,https://k1pkhub.com/feed.xml,sc-domain:k1pkhub.com,false,3
k1bonuspk.com,K1 Pakistan,Pakistan,en-PK,K1-P3,partner-team,,https://k1bonuspk.com/,bonus,"K1 bonus Pakistan long-tail and FAQ site",needs-info,,"K1 bonus PK|K1 bonus Pakistan|K1 bonus","K1 bonus FAQ|K1 bonus terms|K1 promo Pakistan","",https://k1bonuspk.com/sitemap.xml,https://k1bonuspk.com/robots.txt,https://k1bonuspk.com/feed.xml,sc-domain:k1bonuspk.com,false,3
k1pkonline.com,K1 Pakistan,Pakistan,en-PK,K1-P3,partner-team,,https://k1pkonline.com/,online,"K1 PK online access and H5 mobile guide",needs-info,,"K1 PK online|K1 online|K1 Pakistan online","K1 H5 guide|K1 online support|K1 mobile online","",https://k1pkonline.com/sitemap.xml,https://k1pkonline.com/robots.txt,https://k1pkonline.com/feed.xml,sc-domain:k1pkonline.com,false,3
